,Regis II v2.2,Triwaco,ASSUMPTION1,ASSUMPTION1_index
0,mv,,,
1,HLc,W11,W11,0.0
2,HLc,S11,S11,1.0
3,HLc,W12,W12,2.0
4,HLc,S12,S12,3.0
5,HLc,W13,W13,4.0
6,HLc,S13,S13,5.0
7,BXz1,,W21,6.0
8,BXSCk1,,W21,6.0
9,BXz2,,W21,6.0
10,BXLMk1,,W21,6.0
11,BXk1,,W21,6.0
12,BXz3,,W21,6.0
13,BXk2,,W21,6.0
14,BXz4,W21,W21,6.0
15,KRz1,,W21,6.0
16,KRWYk1,,W21,6.0
17,KRz2,,W21,6.0
18,KRk1,,W21,6.0
19,KRz3,W21,W21,6.0
20,BEz1,,W21,6.0
21,BEROk1,,W21,6.0
22,BEk1,,W21,6.0
23,BEz2,,W21,6.0
24,BEk2,,W21,6.0
25,BEz3,,W21,6.0
26,KWz1,,W21,6.0
27,WBv1,,W21,6.0
28,EEz1,,W21,6.0
29,EEk1,S21,S21,7.0
30,EEz2,W22,W22,8.0
31,EEk2,,W22,8.0
32,EEz3,W22,W22,8.0
33,KRZUk1,,W22,8.0
34,KRz4,,W22,8.0
35,KRTWk1,,W22,8.0
36,KRz5,,W22,8.0
37,DRz1,W22,W22,8.0
38,DRUIk1,,W22,8.0
39,DRz2,W22,W22,8.0
40,DRGIk1,S22,S22,9.0
41,DRz3,W31,S22,9.0
42,DRGIk2,,S22,9.0
43,DTc,,S22,9.0
44,DNz1,,S22,9.0
45,URz1,,S22,9.0
46,URk1,,S22,9.0
47,URz2,W22,S22,9.0
48,URk2,S22,S22,9.0
49,URz3,W31,W31,10.0
50,PEz1,,W31,10.0
51,PEk1,,W31,10.0
52,PEz2,,W31,10.0
53,PEk2,,W31,10.0
54,PEz3,,W31,10.0
55,URz4,,W31,10.0
56,URk3,,W31,10.0
57,URz5,,W31,10.0
58,STz1,W31,W31,10.0
59,STk1,S31,S31,11.0
60,STz2,W32,W32,12.0
61,APz1,W32,W32,12.0
62,SYz1,,W32,12.0
63,SYk1,,W32,12.0
64,SYz2,,W32,12.0
65,SYk2,,W32,12.0
66,SYz3,,W32,12.0
67,SYk3,,W32,12.0
68,SYz4,,W32,12.0
69,PZWAz1,W32,W32,12.0
70,WAk1,S32,S32,13.0
71,PZWAz2,,,
72,WAk2,,,
73,PZk1,,,
74,PZWAz3,,,
75,WAk3,,,
76,PZc,,,
77,PZWAz4,,,
78,MSz1,,,
79,MSk1,,,
80,MSz2,,,
81,MSk2,,,
82,MSz3,,,
83,MSc,,,
84,MSz4,,,
85,KIz1,,,
86,KIk1,,,
87,KIz2,,,
88,KIk2,,,
89,KIz3,,,
90,KIk3,,,
91,KIz4,,,
92,KIk4,,,
93,KIz5,,,
94,OOz1,,,
95,OOk1,,,
96,OOz2,,,
97,OOc,,,
98,IEz1,,,
99,IEk1,,,
100,IEz2,,,
101,IEk2,,,
102,IEz3,,,
103,BRz1,,,
104,BRk1,,,
105,BRz2,,,
106,VIb1,,,
107,BRz3,,,
108,VIb2,,,
109,BRz4,,,
110,VEVOc,,,
111,RUz1,,,
112,RUBOk1,,,
113,RUz2,,,
114,RUk1,,,
115,RUz3,,,
116,RUk2,,,
117,RUz4,,,
118,TOz1,,,
119,TOGOk1,,,
120,TOz2,,,
121,TOZEWAk1,,,
122,TOz3,,,
123,DOz1,,,
124,DOASk1,,,
125,DOz2,,,
126,DOk1,,,
127,DOz3,,,
128,DOIEk1,,,
129,DOz4,,,
130,LAc,,,
131,HTc,,,
132,HOq,,,
133,MTq,,,
134,GUq,,,
135,VAc,,,
136,AKc,,,
